Film Name,Period,Release Date,Subject,Genre,Publisher,Awards,Language,Yellowface,Note
Æon Flux,00s,,"Female assassins -- Drama
Utopian socialism -- Drama
Disappeared persons -- Drama
Assassins -- Drama
Assassins
Disappeared persons
Female assassins
Utopian socialism
Drama
Video recordings for the hearing impaired",Drama.,,,,,
Babel,00s,2007,"Firearms accidents -- Drama
Accidents -- Drama
Miscommunication -- Drama
Accidents
Firearms accidents
Miscommunication
Drama
Feature films
Fiction films
Video recordings for the hearing impaired",Drama,,"Cannes Film Festival for Best Director, 2006, Alejandro González Iñárritu ; Prize of the Ecumenical Jury (Alejandro González Iñárritu) ; Technical Grand Prize (Stephen Mirrione).
Academy Award winner, 2006 : best music (original score).",,,"One of the multiple stories told in the film is that of a rebellious, traumatized, and deaf Japanese teenage girl, not a typical Asian character you see in a Hollywood film."
Baby,00s,2005,Gang / Hood (?),Action,," won Best Narrative Feature at the 2007 Los Angeles Asian Pacific Film Festival and a Special Jury Award for ""Outstanding Newcomer"" for star David Huynh at the same film festival that year,[2] and a Best Director award for Director Juwan Chung at the 2008 DisOrient Film Festival",,,
Better Luck Tomorrow,00s,2002,"High school students -- United States -- Drama
Criminal behavior -- United States -- Drama
Asian American high school students -- Conduct of life -- Drama
High school students -- United States -- Conduct of life -- Drama
Criminal behavior
High school students
High school students -- Conduct of life
United States
Drama
Films for the hearing impaired
Feature films
Video recordings for the hearing impaired",Drama,,"San Diego Asian Film Festival, 2002: Visionary Award (Justin Lin).",,,"Addresses the image of Asian Americans in a story of ""perfect"" high-school students who lead double lives as petty criminals."
Batman Begins,00s,2005,"Batman (Fictitious character) -- Drama
Joker (Fictitious character) -- Drama
Batman (Fictitious character)
Joker (Fictitious character)
Superheroes -- Drama
Supervillains -- Drama
Organized crime -- Drama
Criminal behavior -- Drama
Criminal investigation -- Drama
Criminal behavior
Criminal investigation
Organized crime
Superheroes
Supervillains
Superhero films
Fiction films
Thrillers (Motion pictures)
Action and adventure films
Video recordings for the hearing impaired
Film adaptations
Drama",Drama,,"Academy Award nominee, 2005.",,,"In the comic books, Ra’s Al Ghul is an Arab. But in the film he is played by Japanese actor Ken Watanabe, or Irish actor Liam Neeson, or both?"
Balzac and the Little Chinese Seamstress,00s,2002,"Prohibited books -- Drama
Man-woman relationships -- Drama
China -- History -- Cultural Revolution, 1966-1976 -- Drama
Feature films
Fiction films
Video recordings for the hearing impaired",Drama,,,Mandarin,,"In the time of the Cultural Revolution, urban and rural Chinese values are contrasted."
Charlotte Sometimes,00s,2003,"Man-woman relationships -- Drama
Man-woman relationships
Drama
Feature films",Drama,,Nominated for two 2003 Independent Spirit Awards.,,,A complicated love story from 2003 in which the four principal actors are Asian Americans.
"Crouching Tiger, Hidden Dragon",00s,2001,"Swords -- Drama
Martial arts -- Drama
Martial artists -- Drama
Arranged marriage -- Drama
Women martial artists -- Drama
Man-woman relationships -- Drama
China -- Drama
Wang, Dulu -- Film adaptations
Wang, Dulu
Arranged marriage
Man-woman relationships
Martial artists
Martial arts
Swords
Women martial artists
China
Drama
Film adaptations","Drama.
Film adaptations.",,"Academy Award winner, 2000 : best art direction ; best cinematography ; best foreign language film ; best music (original score).",Mandarin,,"Defined by its martial arts, the female protagonist is both assertive and feminine."
Debut,00s,2001,"Filipino Americans -- Drama
Filipino Americans -- Social life and customs -- 21st century -- Drama
Fathers and sons -- Drama
Families -- Folklore -- Drama
Feature films
Comedy films
Video recordings for the hearing impaired",Drama,,,,,It took until 2002 for the first Filipino-American feature film to be released theatrically nationwide
The Departed,00s,,"Organized crime -- Massachusetts -- Boston -- Drama
Organized crime investigation -- Massachusetts -- Boston -- Drama
Police -- Massachusetts -- Boston -- Drama
Undercover operations -- Massachusetts -- Boston -- Drama
Criminal behavior -- Massachusetts -- Boston -- Drama
Informers -- Massachusetts -- Boston -- Drama
Irish Americans -- Massachusetts -- Boston -- Drama
South Boston (Boston, Mass.) -- Drama
Criminal behavior
Informers
Irish Americans
Organized crime
Organized crime investigation
Police
Undercover operations
Massachusetts -- Boston
Massachusetts -- Boston -- South Boston
Film adaptations
Drama
Fiction films
Police films
Feature films
Gangster films
Video recordings for the hearing impaired",Drama,,,,,"A remake of a Hong Kong movie, the only Asian plot line remaining is a deal to sell stolen missile guidance microchips to Chinese government agents. That was evidently enough to get the film banned in China."
Do the Right Thing,00s,2001,"United States -- Race relations -- Drama
African Americans -- New York (State) -- New York -- Relations with Italian Americans -- Drama
Italian American families -- New York (State) -- New York -- Drama
African Americans -- New York (State) -- New York -- Drama
Family-owned business enterprises -- New York (State) -- New York -- Drama
Police brutality -- New York (State) -- New York -- Drama
Riots -- New York (State) -- New York -- Drama
African Americans
African Americans -- Relations with Italian Americans
Family-owned business enterprises
Italian American families
Police brutality
Race relations
Riots
New York (State) -- New York
United States
Drama
Dark comedy films
Video recordings for the hearing impaired
Fiction films
Feature films",Drama,,,,,"Spike Lee delves into issues of racism and intolerance, as blacks, whites, Latinas, and Koreans interact."
Gran Torino,00s,2008,"Widowers -- Michigan -- Drama
Korean War, 1950-1953 -- Veterans -- Drama
Ford Torino automobile -- Drama
Hmong American teenage boys -- Michigan -- Drama
Gangs -- Michigan -- Drama
Hmong American families -- Michigan -- Drama
Families -- Michigan -- Drama
Michigan -- Drama
Families
Ford Torino automobile
Gangs
Hmong American families
Hmong American teenage boys
Veterans
Widowers
Michigan
1950 - 1953
1950-1953
Drama
Crime films
Thrillers (Motion pictures)
Feature films
Fiction films
Video recordings for the hearing impaired
Films for the hearing impaired",Drama,,,,,"A Korean War vet befriends a Hmong family, so they become more human, but in the end it is the white guy who serves as their savior."
Heaven & Earth,00s,2004,"Hayslip, Le Ly -- Drama
Hayslip, James -- Drama
Man-woman relationships -- Vietnam -- Drama
Vietnam War, 1961-1975 -- Drama
Feature films
Biographical films
Video recordings for the hearing impaired",Drama,,,,,"Tommy Lee Jones gets top billing, but its the story of a Vietnamese village girl's hard life during and after the Vietnam war. "
Gwoemul / The Host,00s,2006,"Monsters -- Korea (South) -- Drama
Han River (Korea) -- Drama
Formaldehyde -- Korea (South) -- Drama
Water -- Pollution -- Korea (South) -- Drama
Fathers and daughters -- Korea (South) -- Drama
Working class families -- Korea (South) -- Drama
Korea (South) -- Drama
Fathers and daughters
Formaldehyde
Monsters
Water -- Pollution
Working class families
Korea (South)
Korea (South) -- Han River
Drama
Feature films
Fiction films
Horror films
Video recordings for the hearing impaired",Drama,,,Korean,,"In this 2006 film from South Korea, it is an American doctor who poisons a river and unintentionally creates a monster, who is the villain, and ordinary Koreans who are the heroes."
I'm the One that I Want,00s,2000,"Cho, Margaret -- Humor
Stand-up comedy
Asian American comedians
American wit and humor -- 21st century
Asian American wit and humor
Women -- Sexual behavior -- Humor
Body image in women -- Humor
Women -- Identity -- Humor
Performing arts -- Humor
San Francisco (Calif.) -- Humor
Stand-up comedy routines
Comedy films
Feature films
Filmed performances",Humor.,,,,,"Margaret Cho's live concert performance in which she addresses her rise to fame, accompanying challenges and struggles, racism, homophobia, and cultural clashes."
I Now Pronounce You Chuck and Larry,00s,2007,"Fire fighters -- Drama
Gay couples -- Drama
Feature films
Comedy films
Video recordings for the hearing impaired",Drama,,,,,"Since Rob Schneider is part Filipino, already, why did they have to have his face modified for him to portray a generic Asian minister?"
Kill Bill,00s,2003,"Assassins -- Drama
Revenge -- Drama
Assassins
Revenge
Drama
Action and adventure films
Feature films
Video recordings for the hearing impaired
Fiction films",Drama,,,,,"Subverts some traditional racial roles, but places Lucy Liu's character in the full martial arts niche of Asian portrayals."
Kill Bill 2,00s,2004,"Assassins -- Drama
Revenge -- Drama
Assassins
Revenge
Drama
Action and adventure films
Feature films
Video recordings for the hearing impaired
Fiction films",Drama,,,,,
Kung Fu Panda,00s,2008,"Pandas -- Drama
Kung fu -- Training -- Drama
Revenge -- Drama
Quests (Expeditions) -- Drama
Weapons, Ancient -- China -- Drama
Friendship -- Drama
China -- Drama
Martial arts films
Comedy films
Fantasy films
Action and adventure films
Animated films
Children's films
Feature films
Fiction films
3-D films
Video recordings for the hearing impaired
Video recordings for people with visual disabilities",Drama,,"Academy Award nominee, 2008.",,,"Although a big hit in both the USA and China, criticized for diluting Chinese culture into American pabulum. Fewer than a quarter of the voice actors are Asian or Asian American. "
The Last Samurai,00s,2003,"Samurai -- Japan -- Drama
Soldiers -- Conduct of life -- Drama
Japan -- History -- 19th century -- Drama
Samurai
Soldiers -- Conduct of life
Japan
1800-1899
Drama
History
Feature films
Video recordings for the hearing impaired
Historical films
Action and adventure films",Drama,,,English + Japanese,Kinda,It takes a white savior to preserve the Samurai way of life. 2003
Lost in Translation ,00s,2003,"Friendship -- Drama
Loneliness -- Drama
May-December romances -- Drama
Americans -- Japan -- Tokyo -- Drama
Tokyo (Japan) -- Drama
Americans
Friendship
Loneliness
May-December romances
Japan -- Tokyo
Drama
Romance films
Feature films
Video recordings for the hearing impaired
Fiction films",Drama,,"Academy Award winner, 2003 : best writing (original screenplay).",,,"Two alienated and lonely Americans living in Japan passively observe Japanese culture. The Japanese characters mix up their R's and L's, and imitate yet misconstrue American pop culture."
"Maborosi (no hikari
幻の光)",00s,2000,"Suicide victims -- Family relationships -- Japan -- Drama
Suicide -- Japan -- Drama
Love -- Japan -- Drama
Grief -- Japan -- Drama
Grief
Love
Suicide
Suicide victims -- Family relationships
Japan
Jisatsu
自殺
Shiawase
幸福
Drama
Feature films
Fiction films",Drama,,,Japanese,,A 2000 Japanese film about suicide explores the gamut of family relations.
Mean Girls,00s,2004,"High school students -- New York (State) -- New York -- Drama
Teenage girls -- New York (State) -- New York -- Drama
Man-woman relationships -- New York (State) -- New York -- Drama
Man-woman relationships
Teenage girls
New York (State) -- New York
Video recordings for the hearing impaired
Drama
Feature films
Film adaptations
Comedy films
Films for the hearing impaired
Fiction films",Drama,,,English,,"The ""Cool Asians"" have confused ethnicity and perpetuate the stereotype that Asians are unable to properly speak English."
Not Another Teen Movie,00s,2001,"Teen films -- Parodies, imitations, etc
High school students -- Drama
High school students
Drama
Parodies, imitations, etc
Comedy films
Parody films
Teen films
Fiction films
Feature films
Video recordings for the hearing impaired","Parodies, imitations, etc.
Drama.",,,,,"Parodies the stereotypes used in other teen movies. Without an Asian American in the cast, Karate Kid is spoofed and one student tries to be hip by dressing as Jackie Chan and talking ""Asian."
Ocean's Eleven ,00s,2001,"Robbery -- Nevada -- Las Vegas -- Drama
Casinos -- Nevada -- Las Vegas -- Drama
Casinos
Robbery
Nevada -- Las Vegas
Video recordings for the hearing impaired
Drama
Feature films",Drama,,,,,"The Amazing Yen is inscrutable, doesn't speak English, is a freak, and is not fully a part of the team."
Pearl Harbor,00s,2001,"Pearl Harbor (Hawaii), Attack on, 1941 -- Drama
Air pilots -- Drama
Triangles (Interpersonal relations) -- Drama
Feature films
Fiction films
Historical films
War films
Romance films
Video recordings for the hearing impaired","Drama.
",,"Academy Award winner, 2001 : best sound editing.",,,"Most of the film is a love triangle, but when the film gets around to the attack, it stereotypes all Japanese as vile enemies"
Return of the Dragon (Meng long guo jiang),70s,1972 / 2001,"Gangsters -- Italy -- Rome -- Drama
Intimidation -- Italy -- Rome -- Drama
Chinese -- Italy -- Rome -- Drama
Rome (Italy) -- Drama
Chinese
Gangsters
Intimidation
Italy -- Rome
Drama
Feature films",Drama.,,,,,"Bruce Lee's debut as a director, but about the only difference in this marital arts film from others is that Chuck Norris plays a villain and is defeated."
Last life in the universe (Ruang rak noi nid mahasan),00s,2005,"Suicidal behavior -- Thailand -- Drama
Man-woman relationships -- Thailand -- Drama
Obsessive-compulsive disorder -- Drama
Man-woman relationships
Obsessive-compulsive disorder
Suicidal behavior
Thailand
Drama
Melodrama
Feature films","Drama.
",,"Bangkok International Film Festival, 2004: FIPRESCI Prize (Pen-Ek Ratanaruang).",Thai + Japanese,,"A obsessive-compulsive, suicidal Japanese man living in Bangkok meets a Thai woman who is everything he is not, and cultures clash. A thriller, not a comedy."
The School of Rock,00s,2003,"Rock music -- Instruction and study -- Drama
Music teachers -- Drama
School children -- Drama
Music -- Performance -- Drama
Rock musicians -- United States -- Drama
Rock groups -- United States -- Drama
Musical films
Comedy films
Fiction films
Feature films
Video recordings for the hearing impaired",Drama.,"Hollywood, California : Paramount",,English,,"Several Asian stereotypes are played for laughs in the character of Lawrence, the keyboardist, who says ""I can't be in the band! I'm not cool enough!"" "
Shanghai Knights ,00s,2003,"Queens -- Great Britain -- Drama
Queens -- Assassination attempts -- Great Britain -- Drama
Antiques -- Asia -- Drama
Antiques
Queens
Asia
Great Britain
Action and adventure films
Drama
Feature films
Comedy films
Video recordings for the hearing impaired",Action,,,,,"In this martial arts comedy sequel, East and the Old West meet Victorian England"
Star Wars: Phantom Menace,90s,1999,"Vader, Darth (Fictitious character) -- Drama
Skywalker, Luke (Fictitious character) -- Drama
Skywalker, Luke (Fictitious character)
Vader, Darth (Fictitious character)
Kenobi, Obi-Wan (Fictitious character) -- Drama
Human-alien encounters -- Drama
Imaginary wars and battles -- Drama
Space warfare -- Drama
Human-alien encounters
Imaginary wars and battles
Kenobi, Obi-Wan (Fictitious character)
Space warfare
Video recordings for people with visual disabilities
Drama
Video recordings for the hearing impaired
Science fiction films
Feature films
Fiction films",Sci-fi,"San Francisco : Lucasfilm ; Beverly Hills, Calif. : Twentieth Century Fox Home Entertainment","Academy Award nominee, 1999.",,,There is a claim that the evil Neimoidian trader Nute Gunray was drawn from Asian villains in films George Lucas grew up with.
Starship Troopers,00s,2008,"Heinlein, Robert A (Robert Anson), 1907-1988 -- Film adaptations
Heinlein, Robert A (Robert Anson), 1907-1988
Soldiers -- Drama
Human-alien encounters -- Drama
Life on other planets -- Drama
Human-alien encounters
Life on other planets
Soldiers
Drama
Film adaptations
Science fiction films","Film adaptations.
Drama.","Culver City, Calif. : Sony Pictures Home Entertainment"," Academy Award nominee, 1997",,,"There is a certain ethnic and racial mix in the cast, but Rico was changed from Filipino in the book to Argentinean in the movie and played by a white actor."
A Thousand Years of Good Prayers,00s,2007,"Fathers and daughters -- Drama
China -- History -- Cultural Revolution, 1966-1976 -- Drama
Generations -- Drama
Divorced women -- Drama
Culture conflict -- Drama
Feature films
Fiction films
Video recordings for the hearing impaired",Drama,"Los Angeles, CA : Magnolia Home Entertainment","Winner of the Golden Shell for Best Picture and Best Actor: Henry O, 2008, San Sebastian Film Festival.",English + Mandarin,,"In this Wayne Wang film, a Chinese father's visit his daughter in America provides insight into multiple cultural and geographical clashes."
Team America: World Police,00s,2004,"Police -- Special weapons and tactics units -- Drama
Terrorists -- Korea (North) -- Drama
Illegal arms transfers -- Drama
Illegal arms transfers
Police -- Special weapons and tactics units
Terrorists
Korea (North)
Puppet films
Parody films
Fiction films
Comedy films
Drama
Feature films
Video recordings for the hearing impaired",Drama,"Hollywood, California : Paramount Home Entertainment",,English,,Kim Jong-Il is brutally parodied by the creators of South Park. 2004
Up,00s,2009,"Older men -- Drama
Widowers -- Drama
Scouting (Youth activity) -- Drama
Adventure and adventurers -- Drama
Adventure and adventurers
Older men
Scouting (Youth activity)
Widowers
Drama
Action and adventure films
Comedy films
Animated films
Video recordings for the hearing impaired
Fiction films
Feature films",Drama,"Burbank, Calif. : Walt Disney Studio Home Entertainment","Academy Award winner, 2009 : best animated feature, best music (original score).",,,"An Asian character finally gets a starring role in a Disney film, but he's fat and nerdy."
Aloha,00s,2015,"Private military companies -- Drama
Honolulu (Hawaii) -- Drama
Fiction films
Feature films",,,,,Yes,"Emma Stone, fully Caucasian, plays a character who is part Asian"
Blade Runner 2049,00s,2018,"Los Angeles (Calif.) Police Department -- Drama
Deckard, Rick (Fictitious character) -- Drama
Missing persons -- Drama
Criminal investigation -- Drama
Science fiction films
Thrillers (Motion pictures)
Detective and mystery films
Dystopian films
Fiction films
Feature films",,,,,Yes,
Children of Invention,00s,2009,"Single mothers -- Drama
Brothers and sisters -- Drama
Inventors -- Drama
Disappeared persons -- Drama
Squatters -- Drama
Asian Americans -- Drama
Boston (Mass.) -- Drama
Fiction films
Feature films",,,"Official selection, 2009 Sundance Film Festival. Grand jury prize, Boston Independent, Los Angeles Asian Pacific American, Newport international, and San Diego Asian Film Festivals; Emerging Filmmaker Award, Hawaii International Film Festival; Winner, Special Jury Prize, San Francisco International Asian American, Nashville, Sarasota, and Indie Memphis Film Festivals; Visionary Award, Austin Asian American Film Festival.",,,
Cloud Atlas,00s,2013,"Fate and fatalism -- Drama
Reincarnation -- Drama
Fantasy films
Feature films
Science fiction films
Film adaptations",,,,,,
Doctor Strange,00s,2016,"Strange, Stephen (Fictitious character) -- Drama
Wizards -- Drama
Magic -- Drama
Superheroes -- Drama
Imaginary wars and battles -- Drama
Good and evil -- Drama
Superhero films
Action and adventure films
Fantasy films
Science fiction films
Fiction films
Feature films",,,"Academy Award nominee, 2016.",,,
Jinling shi san chai = Flowers of War,00s,,"Sino-Japanese War, 1937-1945 -- Drama
Prostitutes -- China -- Nanjing Shi -- Drama
Catholic Church -- China -- Nanjing Shi -- Drama
High school students -- China -- Nanjing Shi -- Drama
Historical films
Film adaptations
Feature films
Fiction films",,,,,,
Get Out,00s,2017,"Interracial dating -- Drama
Missing persons -- Drama
African Americans -- Crimes against -- Drama
African Americans -- Crimes against
Interracial dating
Missing persons
Fiction films
Feature films
Horror films
Drama",,,"Academy Award winner, 2017: best writing (original screenplay).",,,
The Green Hornet,00s,2011,"Superheroes -- Drama
Newspaper editors -- United States -- Drama
Criminal behavior -- United States -- Drama
Feature films
Superhero films
3-D films
Video recordings for the hearing impaired",Drama,,,,,"Kato, portrayed by Jay Chou, was quite different from Bruce Lee's characterization from the TV show, and was more a conversationally witty, smart mastermind than bodyguard and servant."
 The Hangover Series,00s,2009-13,"Bridegrooms -- Drama
Bachelor parties -- Drama
Recollection (Psychology) -- Drama
Weddings -- Drama
Los Angeles (Calif.) -- Drama
Las Vegas (Nev.) -- Drama
Feature films
Comedy films
Video recordings for the hearing impaired",Drama,,,,,"Not only is the Asian man a villainous gangster, he is effeminate, speaks in pidgin, and is the butt of jokes."
Hospitalité,00s,2012,"Families -- Japan -- Drama
Community life -- Japan -- Drama
Feature films
Short films
Video recordings for the hearing impaired",,,"""Official Selection Rotterdam Int'l Film Festival""--Container.",Japanese,,A Japanese filmmaker's attempt to alter some stereotypes in this black comedy.
Kubo and the Two Strings,00s,2016,"Armor -- Juvenile films
Boys -- Juvenile films
Fathers and sons -- Juvenile films
Armor -- Drama
Boys -- Japan -- Drama
Fathers and sons -- Japan -- Drama
Magic -- Drama
Children's films
Animated films
Fiction films
Feature films
Video recordings for the hearing impaired
Video recordings for people with visual disabilities","
Juvenile films.
Drama.",,,,,"In this fantasy set in ancient Japan, why is Kubo voiced by an Irish actor? No Japanese or Japanese-American actors are voices of anything other than minor roles."
Lucy,00s,,"Human experimentation in medicine -- Drama
Brain -- Research -- Drama
Thrillers (Motion pictures)
Action and adventure films
Science fiction films
Feature films
Fiction films
Video recordings for the hearing impaired
Video recordings for people with visual disabilities",,,,,,"The bad guys are a Korean drug lord and his gang, so it is ok for the supercharged woman to kill them mercilessly – as well as a Taiwanese cab driver whose only crime was an inability to speak English."
The Martian,00s,,"Astronauts -- Drama
Survival -- Drama
Mars (Planet) -- Drama
Weir, Andy -- Film adaptations
Survival films
Science fiction films
Action and adventure films
Film adaptations
Fiction films
Feature films
Video recordings for the hearing impaired
Video recordings for people with visual disabilities","Drama.
Film adaptations.",,,,,"The head of the Jet Propulsion Lab is named Ng, and it's the China National Space Administration who comes in to save the day. Is it only a coincidence that Asian countries now dominate the revenue generated by the overseas movie box office?"
The Maze Runner ,00s,2014-16,"Amnesia -- Drama
Cooperativeness -- Drama
Labyrinths -- Drama
Action and adventure films
Science fiction films
Feature films
Fiction films
Film adaptations
Video recordings for the hearing impaired
Video recordings for people with visual disabilities",,,,,,"Minho has a leadership role, speaks proper English, and doesn't use martial arts when he fights."
Maze Runner: The Scorch Trials,00s,,"Survival -- Drama
Infection -- Drama
Epidemics -- Drama
Mutation (Biology) -- Drama
Teenagers -- Drama
Action and adventure films
Science fiction films
Feature films
Fiction films
Video recordings for the hearing impaired
Video recordings for people with visual disabilities",,,,,,
Maze Runner: Death Cure ,00s,,"Survival -- Drama
Cooperativeness -- Drama
Labyrinths -- Drama
Science -- Experiments -- Drama
Epidemics -- Drama
Cooperativeness
Epidemics
Labyrinths
Science -- Experiments
Survival
Action and adventure films
Drama
Dystopian films
Feature films
Fiction films
Film adaptations
Science fiction films
Thrillers (Motion pictures)
Video recordings for people with visual disabilities
Video recordings for the hearing impaired",,,,,,
Men in Black 3,00s,,"Men in black (UFO phenomenon) -- Drama
Human-alien encounters -- Drama
Feature films
Science fiction films
Comedy films
Video recordings for the hearing impaired
Video recordings for people with visual disabilities",,,,,,The controversy surrounding this 2012 sequel is that Chinese government censures edited out as many as 13 minutes of the film before it could be shown in China. Perhaps the film is improved without the scene of Mr. Wu being tortured by use of a spiked alien fish.
Norwegian Wood,00s,,"Murakami, Haruki, 1949- -- Film adaptations
Psychosexual disorders -- Drama
Man-woman relationships -- Drama
Triangles (Interpersonal relations) -- Drama
Psychosexual disorders
Triangles (Interpersonal relations)
Drama
Film adaptations
Feature films
Romance films
Fiction films","Film adaptations.
Drama.",,,,,"It's Tokyo in the late 1960s. In this film by Anh Hùng TrânThe world is in turmoil, and so are the lives of three Japanese students."
Parental Guidance,00s,2012,"Grandparent and child -- Drama
Families -- Drama
Technology -- Drama
Feature films
Comedy films
Video recordings for the hearing impaired
Video recordings for people with visual disabilities",,,,,,The owner of a pan-Asian restaurant speaks in pidgin and is comically bizarre.
Pitch Perfect,00s,,"College students -- Drama
Choral societies -- United States -- Drama
Music in universities and colleges -- United States -- Drama
Music -- Competitions -- United States -- Drama
Fiction films
Feature films
Musical films
Video recordings for the hearing impaired
Video recordings for people with visual disabilities",,,,,,"A college comedy that includes Asian students, but they are limited to the common Asian tropes, such as the quiet submissive girl (until she reveals her beatboxing talent)."
Prometheus,00s,2012,,,,,,,"It took until 2012 for an Asian character to enter the Alien world, and Ravel is a bit of a drudge."
Rogue One: a Star Wars Story,00s,2016,"Vader, Darth (Fictitious character) -- Drama
Vader, Darth (Fictitious character)
Space warfare -- Drama
Space vehicles -- Drama
Government, Resistance to -- Drama
Good and evil -- Drama
Good and evil
Government, Resistance to
Space vehicles
Space warfare
Action and adventure films
Drama
Feature films
Fiction films
Science fiction films
Video recordings for people with visual disabilities
Video recordings for the hearing impaired",,,"Academy Award nominee, 2016.",,,"It only took 40 years, but at least Asian characters appear in almost starring roles. There is a blind monk who is a martial arts master, and hulking long haired, bearded he-man who wields a big gun, but does not do martial arts. "
Salmon Fishing in The Yemen,00s,2012,"Salmon fishing -- Drama
Fisheries -- Great Britain -- Drama
Bureaucracy -- Drama
London (England) -- Drama
Yemen (Republic) -- Drama
Feature films
Comedy films
Film adaptations
Video recordings for the hearing impaired",,,,,,"Rumors abound that the reason there are Chinese hydroelectric engineers in this 2012 film is either due to Chinese government pressure or a desire to sell more tickets in Chinese theaters.
"
A Serious Man,00s,2010,"Middle-aged men -- Drama
Man-woman relationships -- Drama
Feature films
Dark comedy films
Video recordings for the hearing impaired",,,"Academy Award nominee, 2009.",,,"In this film full of Jewish id, two minor characters, a Korean father and son, fit the non-American foreigner stereotype, speaking poor English and exhibiting socially inept behaviors."
Shanghai Calling,00s,,"Manufacturing industries -- China -- Shanghai -- Drama
Employees -- Relocation -- China -- Shanghai -- Drama
Shanghai (China) -- Drama
Fraud -- China -- Shanghai -- Drama
Feature films
Comedy films
Fiction films
Video recordings for the hearing impaired",,,,,,"A reversal of roles and stereotypes as an Asian American becomes an immigrant to China and the romance involves an Asian man and a white woman. Shanghai, itself, is not the traditional and backward place American audiences expect, but modern and quite westernized."
Snow Flower and the Secret Fan,00s,,"Nèu shu -- Drama
Reminiscing in old age -- Drama
Female friendship -- Drama
Women -- China -- Drama
Married women -- Drama
Middle-aged women -- Drama
Footbinding -- Drama
Childbirth -- Drama
Secrecy -- Drama
China -- Drama
Feature films
Film adaptations
Video recordings for the hearing impaired
Video recordings for people with visual disabilities",,,,Mandarin,,Parallel stories of two girls who grow to women in 19th and 21st century China show how both are bound by and try to overcome patriarchal culture.
The Social Network,00s,2011,"Zuckerberg, Mark, 1984- -- Drama
Facebook (Firm) -- Drama
College students -- Drama
Online social networks -- Drama
Zuckerberg, Mark, 1984-
Facebook (Firm)
College students
Online social networks
Drama
Biographical films
Historical films
Fiction films
Feature films
Video recordings for the hearing impaired
Video recordings for people with visual disabilities",,,"
Golden Globe Awards, 2011: Best Motion Picture - Drama; Best Director - Motion Picture (David Fincher); Best Screenplay - Motion Picture (Aaron Sorkin); Best Original Score - Motion Picture (Trent Reznor and Atticus Ross).
Academy Award winner, 2010 : best film editing, best music (original score), best writing (adapted screenplay).",,,The Asian women have been described as little more than sexy props.
"Star Wars, the Force Awakens",00s,2015,"Motion picture music
Film soundtracks
",,,"Grammy nominee, 2017.",,,Asian characters as gangsters.